iteration,parameter
0,1
1,0.99
2,0.983
3,0.976
4,0.969
5,0.962
6,0.955
7,0.948
8,0.941
9,0.934
10,0.927
11,0.92
12,0.913
13,0.906
14,0.898
15,0.891
16,0.884
17,0.877
18,0.87
19,0.863
20,0.856
21,0.849
22,0.842
23,0.835
24,0.828
25,0.821
26,0.814
27,0.807
28,0.8
29,0.793
30,0.786
31,0.779
32,0.772
33,0.765
34,0.758
35,0.751
36,0.744
37,0.737
38,0.729
39,0.722
40,0.715
41,0.708
42,0.701
43,0.694
44,0.687
45,0.68
46,0.673
47,0.666
48,0.659
49,0.652
50,0.645
51,0.638
52,0.631
53,0.624
54,0.617
55,0.61
56,0.603
57,0.596
58,0.589
59,0.582
60,0.575
61,0.568
62,0.561
63,0.553
64,0.546
65,0.539
66,0.532
67,0.525
68,0.518
69,0.511
70,0.504
71,0.497
72,0.49
73,0.483
74,0.476
75,0.469
76,0.462
77,0.455
78,0.448
79,0.441
80,0.434
81,0.427
82,0.42
83,0.413
84,0.406
85,0.399
86,0.392
87,0.384
88,0.377
89,0.37
90,0.363
91,0.356
92,0.349
93,0.342
94,0.335
95,0.328
96,0.321
97,0.314
98,0.307
99,0.3
100,0.3
